dossier	nomenclature	libelle	colonnes	colonne_code	colonne_libelle	taille_ko	valeurs_embarquees
ORAVAL	PX_FSR_V	services associées aux fonctionnalités	TLS_FCT_COD,TLS_FCT_LIB,SER_SER_COD,SER_SER_LIB,GRP_SER_COD,GRP_SER_LIB,TEC_COL	TLS_FCT_COD	TLS_FCT_LIB	16	oui
ORAVAL	PX_SER_V	services pour restitution	TLS_FCT_COD,SER_SER_CPS,TLS_FCT_LIB,TEC_COL	TLS_FCT_COD	TLS_FCT_LIB	2	oui
ORAVAL	PX_SPE_V	codes catégories télé-service par spécialité	SPE_COD,SPE_LIB,CAT_TLS_COD,TEC_COL	SPE_COD	SPE_LIB	2	oui
ORAVAL	PX_TRC_V	tranches de connexions	TRC_COD,TRC_CNX_NB,TEC_COL	TRC_COD		0	oui
ORAVAL	R9_PAR_V	Paramétrage automatisation ARA	PAR_PRJ,PAR_COD,PAR_LIB,PAR_VAL,TEC_COL	PAR_COD	PAR_LIB	2	oui
ORAVAL	R9_SPE_V	regroupements Spécialité pour automatisation ARA	PRA_SPE,PRA_SPE_RG1,PRA_SPE_RG2,PRA_SPE_RG3,PRA_SPE_RG4,TEC_COL	PRA_SPE		1	oui
ORAVAL	RM_CND_V	top conditionnement	MED_CND_TOP,MED_CND_LIB,TEC_COL	MED_CND_TOP	MED_CND_LIB	0	oui
ORAVAL	RM_CNV_V	top répertoire conventionnel	GEN_CNV_TOP,GEN_CNV_LIB,TEC_COL	GEN_CNV_TOP	GEN_CNV_LIB	0	oui
ORAVAL	RM_EXP_V	top exception	MED_EXP_TOP,MED_EXP_LIB,TEC_COL	MED_EXP_TOP	MED_EXP_LIB	0	oui
ORAVAL	RM_HTA_V	top HTA ( hypertension artérielle )	MED_HTA_TOP,MED_HTA_LIB,TEC_COL	MED_HTA_TOP	MED_HTA_LIB	0	oui
ORAVAL	RM_PAR_V	top des principes actifs retenus	GEN_MLE_TOP,GEN_MLE_LIB,TEC_COL	GEN_MLE_TOP	GEN_MLE_LIB	0	oui
ORAVAL	RM_RFM_V	top convention (Suivi de la réforme)	MED_CNV_TOP,MED_CNV_LIB,TEC_COL	MED_CNV_TOP	MED_CNV_LIB	0	oui
ORAVAL	RM_RPM_V	top répertoire médicament	GEN_REP_MED,GEN_REP_LIB,TEC_COL	GEN_REP_MED	GEN_REP_LIB	0	oui
ORAVAL	RM_SRT_V	top sortie hospitalière	MED_SRT_TOP,MED_SRT_LIB,TEC_COL	MED_SRT_TOP	MED_SRT_LIB	0	oui
ORAVAL	RM_TAN_V	types d'anomalies des flux	MED_ANO_COD,MED_ANO_LIB,TEC_COL	MED_ANO_COD	MED_ANO_LIB	1	oui
ORAVAL	TAB_VAL_DEF	table de description des tables de valeur et de compatibilite ( cette table)	NOM,NBL,VERSION,LIBELLE	NOM		24	oui
ORAVAL	ZO_CAI_V	Caisse  ( projet RESID-EHPAD )	CAI_IDE,GRG_COD,CAI_COD,CEN_COD,CAI_LIB,CAI_TYP,TEC_COL	CAI_IDE	CAI_LIB	82	non
ORAVAL	ZO_MMV_V	Motif de mouvement  RESID-EHPAD	MVT_MOT_COD,MVT_MOT_LIB,TEC_COL	MVT_MOT_COD	MVT_MOT_LIB	0	oui
ORAVAL	ZO_PRE_V	Prestation  RESID-EHPAD	PRE_COD,PRE_LIB,TEC_COL	PRE_COD	PRE_LIB	0	oui
ORAVAL	ZO_TMV_V	Type de mouvement  RESID-EHPAD	TMV_TYP_COD,TMV_TYP_LIB,TEC_COL	TMV_TYP_COD	TMV_TYP_LIB	0	oui
