categorie;table;libelle;chemin
"PMSI";"T_MCOAAFL";"MCO actes de biologie (issus de la NABM)22";"Kwikly/PMSI/T_MCOAAFL.html"
"PMSI";"T_MCOAAFLSTC";"MCO actes de biologie (issus de la NABM) STC2";"Kwikly/PMSI/T_MCOAAFLSTC.html"
"PMSI";"T_MCOAAFM";"MCO RSFA des actes CCAM des Etablissements ex OQN";"Kwikly/PMSI/T_MCOAAFM.html"
"PMSI";"T_MCOAAFMSTC";"MCO Chaînage des actes CCAM pour l'activité externe des établissements ex DGF";"Kwikly/PMSI/T_MCOAAFMSTC.html"
"PMSI";"T_MCOAAFP";"MCO RSFA des LPP DMI en sus des Etablissements ex OQN";"Kwikly/PMSI/T_MCOAAFP.html"
"PMSI";"T_MCOAAFPSTC";"MCO Factures Anonymes STC";"Kwikly/PMSI/T_MCOAAFPSTC.html"
"PMSI";"T_MCOAAGV10";"";"Kwikly/PMSI/T_MCOAAGV10.html"
"PMSI";"T_MCOAAGV10B";"";"Kwikly/PMSI/T_MCOAAGV10B.html"
"PMSI";"T_MCOAAGV10C";"";"Kwikly/PMSI/T_MCOAAGV10C.html"
"PMSI";"T_MCOAAGV11";"";"Kwikly/PMSI/T_MCOAAGV11.html"
"PMSI";"T_MCOAAGV11B";"";"Kwikly/PMSI/T_MCOAAGV11B.html"
"PMSI";"T_MCOAAGV11C";"";"Kwikly/PMSI/T_MCOAAGV11C.html"
"PMSI";"T_MCOAAGV11D";"";"Kwikly/PMSI/T_MCOAAGV11D.html"
"PMSI";"T_MCOAAGV11E";"";"Kwikly/PMSI/T_MCOAAGV11E.html"
"PMSI";"T_MCOAAGV11F";"";"Kwikly/PMSI/T_MCOAAGV11F.html"
"PMSI";"T_MCOAAGV11G";"";"Kwikly/PMSI/T_MCOAAGV11G.html"
"PMSI";"T_MCOAAGV2016";"";"Kwikly/PMSI/T_MCOAAGV2016.html"
"PMSI";"T_MCOAAGV2017";"";"Kwikly/PMSI/T_MCOAAGV2017.html"
"PMSI";"T_MCOAAGV2018";"";"Kwikly/PMSI/T_MCOAAGV2018.html"
"PMSI";"T_MCOAAGV2019";"";"Kwikly/PMSI/T_MCOAAGV2019.html"
"PMSI";"T_MCOAAGV2020";"";"Kwikly/PMSI/T_MCOAAGV2020.html"
"PMSI";"T_MCOAAGV2021";"";"Kwikly/PMSI/T_MCOAAGV2021.html"
"PMSI";"T_MCOAAGV2022";"";"Kwikly/PMSI/T_MCOAAGV2022.html"
"PMSI";"T_MCOAAGV2023";"";"Kwikly/PMSI/T_MCOAAGV2023.html"
"PMSI";"T_MCOAAGV2024";"";"Kwikly/PMSI/T_MCOAAGV2024.html"
"PMSI";"T_MCOAAGV2025";"";"Kwikly/PMSI/T_MCOAAGV2025.html"
"PMSI";"T_MCOAAGV9";"";"Kwikly/PMSI/T_MCOAAGV9.html"
"PMSI";"T_MCOAAIVG";"";"Kwikly/PMSI/T_MCOAAIVG.html"
"PMSI";"T_MCOAALACT";"";"Kwikly/PMSI/T_MCOAALACT.html"
"PMSI";"T_MCOAALEG";"MCO LEG";"Kwikly/PMSI/T_MCOAALEG.html"
"PMSI";"T_MCOAAMED";"MCO Médicament";"Kwikly/PMSI/T_MCOAAMED.html"
"PMSI";"T_MCOAAMEDAPAC";"MCO Médicament avec PAC";"Kwikly/PMSI/T_MCOAAMEDAPAC.html"
"PMSI";"T_MCOAAMEDATU";"";"Kwikly/PMSI/T_MCOAAMEDATU.html"
"PMSI";"T_MCOAAMEDTHROMBO";"";"Kwikly/PMSI/T_MCOAAMEDTHROMBO.html"
"PMSI";"T_MCOAAORP";"";"Kwikly/PMSI/T_MCOAAORP.html"
"PMSI";"T_MCOAAPIE";"MCO Prestations interétablissements";"Kwikly/PMSI/T_MCOAAPIE.html"
"PMSI";"T_MCOAAPIP";"";"Kwikly/PMSI/T_MCOAAPIP.html"
"PMSI";"T_MCOAAPORG";"MCO Prélèvements d'organes";"Kwikly/PMSI/T_MCOAAPORG.html"
"PMSI";"T_MCOAASTC";"MCO Informations de prise en charge des etb Sans taux de Convention";"Kwikly/PMSI/T_MCOAASTC.html"
"PMSI";"T_MCOAASUP_BPHNA";"";"Kwikly/PMSI/T_MCOAASUP_BPHNA.html"
"PMSI";"T_MCOAASUP_BPHNC";"";"Kwikly/PMSI/T_MCOAASUP_BPHNC.html"
"PMSI";"T_MCOAASUP_BPHNP";"";"Kwikly/PMSI/T_MCOAASUP_BPHNP.html"
"PMSI";"T_MCOAASUP_CES";"";"Kwikly/PMSI/T_MCOAASUP_CES.html"
"PMSI";"T_MCOAASUP_DSC";"MCO Tests diagnostiques Covid";"Kwikly/PMSI/T_MCOAASUP_DSC.html"
"PMSI";"T_MCOAASUP_FFM";"";"Kwikly/PMSI/T_MCOAASUP_FFM.html"
"PMSI";"T_MCOAASUP_IUM";"MCO fichsup IUM";"Kwikly/PMSI/T_MCOAASUP_IUM.html"
"PMSI";"T_MCOAASUP_LACT";"MCO Lactarium fichsup";"Kwikly/PMSI/T_MCOAASUP_LACT.html"
"PMSI";"T_MCOAASUP_MKP";"MCO Vaccination Monkeypox";"Kwikly/PMSI/T_MCOAASUP_MKP.html"
"PMSI";"T_MCOAASUP_PCR";"";"Kwikly/PMSI/T_MCOAASUP_PCR.html"
"PMSI";"T_MCOAASUP_PPCO";"MCO PRIMO PRESCR CHIMIO ORALE";"Kwikly/PMSI/T_MCOAASUP_PPCO.html"
"PMSI";"T_MCOAASUP_RIHND";"MCO recueil RIHN LC etab demandeur payeur";"Kwikly/PMSI/T_MCOAASUP_RIHND.html"
"PMSI";"T_MCOAASUP_RIHNP";"MCO recueil du RIHN LC établissements producteurs";"Kwikly/PMSI/T_MCOAASUP_RIHNP.html"
"PMSI";"T_MCOAASUP_SMUR";"MCO SMUR";"Kwikly/PMSI/T_MCOAASUP_SMUR.html"
"PMSI";"T_MCOAASUP_TIE";"";"Kwikly/PMSI/T_MCOAASUP_TIE.html"
"PMSI";"T_MCOAASUP_USMP";"MCO Médicaments dispensés en USMP";"Kwikly/PMSI/T_MCOAASUP_USMP.html"
"PMSI";"T_MCOAASUP_VAC";"MCO Vaccins";"Kwikly/PMSI/T_MCOAASUP_VAC.html"
"PMSI";"T_MCOAATRPT";"MCO transport";"Kwikly/PMSI/T_MCOAATRPT.html"
"PMSI";"T_MCOAAUM";"MCO Résumé d'Unités Médicales";"Kwikly/PMSI/T_MCOAAUM.html"
"PMSI";"T_MCOAAUPGV";"MCO unités médicales à portée globale valide";"Kwikly/PMSI/T_MCOAAUPGV.html"
"PMSI";"T_MCOAAVALO";"MCO Valorisation du séjour";"Kwikly/PMSI/T_MCOAAVALO.html"
"PMSI";"T_MCOAAVALOACE";"MCO Valorisation RSF";"Kwikly/PMSI/T_MCOAAVALOACE.html"
"PMSI";"T_MCOAAZ";"MCO Nombre d'actes menant vers les GHS 96";"Kwikly/PMSI/T_MCOAAZ.html"
"PMSI";"T_RIPAAC";"RIP Chaînage de résumés par séquence anonymisé (SNIR)";"Kwikly/PMSI/T_RIPAAC.html"
"PMSI";"T_RIPAACCAM";"RIP Actes CCAM";"Kwikly/PMSI/T_RIPAACCAM.html"
"PMSI";"T_RIPAACSTC";"RIP Chaînage des RSFA pour l'activité externe des établissements ex DGF";"Kwikly/PMSI/T_RIPAACSTC.html"
"PMSI";"T_RIPAAE";"RIP Etablissements";"Kwikly/PMSI/T_RIPAAE.html"
"PMSI";"T_RIPAAFA";"RIP RSFA A Début de facture";"Kwikly/PMSI/T_RIPAAFA.html"
"PMSI";"T_RIPAAFB";"RIP RSFA B Prestations Hospitalières";"Kwikly/PMSI/T_RIPAAFB.html"
"PMSI";"T_RIPAAFC";"RIP RSFA C Honoraires";"Kwikly/PMSI/T_RIPAAFC.html"
"PMSI";"T_RIPAAFH";"RIP RSFA H Prestations Hospitalières Médicaments";"Kwikly/PMSI/T_RIPAAFH.html"
"PMSI";"T_RIPAAFI";"RIP RSFA I Prestation Hospitalière interruption de séjour";"Kwikly/PMSI/T_RIPAAFI.html"
"PMSI";"T_RIPAAFL";"RIP codage affine actes bio2";"Kwikly/PMSI/T_RIPAAFL.html"
"PMSI";"T_RIPAAFM";"RIP RSFA M CCAM";"Kwikly/PMSI/T_RIPAAFM.html"
"PMSI";"T_RIPAAFP";"RIP RSFA P Prestations Hospitalières Prothèses";"Kwikly/PMSI/T_RIPAAFP.html"
"PMSI";"T_RIPAAISOCONT_CTL";"RIP table des erreurs de la table RIP_ISOCONT";"Kwikly/PMSI/T_RIPAAISOCONT_CTL.html"
"PMSI";"T_RIPAAR3A";"RIP Résumé par acte ambulatoire anonymisé (format P27)";"Kwikly/PMSI/T_RIPAAR3A.html"
"PMSI";"T_RIPAAR3AD";"RIP Diagnostics et facteurs associés";"Kwikly/PMSI/T_RIPAAR3AD.html"
"PMSI";"T_RIPAARSA";"RIP Résumé par séquence anonymisé (format P27)";"Kwikly/PMSI/T_RIPAARSA.html"
"PMSI";"T_RIPAARSAD";"RIP Diagnostics associés des séquences";"Kwikly/PMSI/T_RIPAARSAD.html"
"PMSI";"T_RIPAAS";"RIP Synthèse au Séjour de Résumés Hebdomadaires Anonymisés (SSRPSA) format M362";"Kwikly/PMSI/T_RIPAAS.html"
"PMSI";"T_RIPAASTC";"RIP etab DGF";"Kwikly/PMSI/T_RIPAASTC.html"
"PMSI";"T_RIPAASUP_DSC";"RIP Tests diagnostiques Covid";"Kwikly/PMSI/T_RIPAASUP_DSC.html"
"PMSI";"T_RIPAASUP_IUM";"RIP unités médicales";"Kwikly/PMSI/T_RIPAASUP_IUM.html"
"PMSI";"T_RIPAASUP_TIE";"";"Kwikly/PMSI/T_RIPAASUP_TIE.html"
"PMSI";"T_RIPAASUP_VAC";"RIP Vaccins";"Kwikly/PMSI/T_RIPAASUP_VAC.html"
"PMSI";"T_RIPAATP";"RIP table fichcomp_TP tpartiela";"Kwikly/PMSI/T_RIPAATP.html"
"PMSI";"T_RIPAATP_CTL";"RIP table des erreurs de la table RIP_TRPT";"Kwikly/PMSI/T_RIPAATP_CTL.html"
"PMSI";"T_RIPAATRPT";"RIP transport";"Kwikly/PMSI/T_RIPAATRPT.html"
"PMSI";"T_RIPAATRPT_CTL";"RIP erreurs de la table RIP_TRPT";"Kwikly/PMSI/T_RIPAATRPT_CTL.html"
"PMSI";"T_SSRAAA";"";"Kwikly/PMSI/T_SSRAAA.html"
"PMSI";"T_SSRAAB";"SSR RHA";"Kwikly/PMSI/T_SSRAAB.html"
"PMSI";"T_SSRAAC";"SSR Chaînage";"Kwikly/PMSI/T_SSRAAC.html"
"PMSI";"T_SSRAACCAM";"SSR Actes CCAM";"Kwikly/PMSI/T_SSRAACCAM.html"
"PMSI";"T_SSRAACCAR";"";"Kwikly/PMSI/T_SSRAACCAR.html"
"PMSI";"T_SSRAACMC";"";"Kwikly/PMSI/T_SSRAACMC.html"
"PMSI";"T_SSRAACSARR";"SSR Actes de rééducation réadaptation";"Kwikly/PMSI/T_SSRAACSARR.html"
"PMSI";"T_SSRAACSTC";"SSR Chaînage des RSFA pour l'activité externe des établissements ex DGF2";"Kwikly/PMSI/T_SSRAACSTC.html"
"PMSI";"T_SSRAAD";"SSR Diagnostics associés";"Kwikly/PMSI/T_SSRAAD.html"
"PMSI";"T_SSRAADIALP";"SSR Forfaits de dialyses péritonéales";"Kwikly/PMSI/T_SSRAADIALP.html"
"PMSI";"T_SSRAAE";"SSR Etablissements";"Kwikly/PMSI/T_SSRAAE.html"
"PMSI";"T_SSRAAFA";"SSR RSFA A Début de facture";"Kwikly/PMSI/T_SSRAAFA.html"
"PMSI";"T_SSRAAFASTC";"SSR RSFA début de facture pour l'activité externe des Etablissements ex DGF2";"Kwikly/PMSI/T_SSRAAFASTC.html"
"PMSI";"T_SSRAAFB";"SSR RSFA B Prestations Hospitalières";"Kwikly/PMSI/T_SSRAAFB.html"
"PMSI";"T_SSRAAFBSTC";"SSR RSFA facture pour l'activité externe des établissements ex DGF2";"Kwikly/PMSI/T_SSRAAFBSTC.html"
"PMSI";"T_SSRAAFC";"SSR RSFA C Honoraires";"Kwikly/PMSI/T_SSRAAFC.html"
"PMSI";"T_SSRAAFCSTC";"SSR Chaînage des RSFA honoraires pour l'activité externe des étab ex DGF2";"Kwikly/PMSI/T_SSRAAFCSTC.html"
"PMSI";"T_SSRAAFH";"SSR RSFA H Prestations Hospitalières Médicaments";"Kwikly/PMSI/T_SSRAAFH.html"
"PMSI";"T_SSRAAFHSTC";"SSR RAFAEL RSFA H Prestations Hospitalières Médicaments";"Kwikly/PMSI/T_SSRAAFHSTC.html"
"PMSI";"T_SSRAAFI";"SSR RSFA I Prestation Hospitalière interruption de séjour";"Kwikly/PMSI/T_SSRAAFI.html"
"PMSI";"T_SSRAAFL";"SSR codage affine actes bio2";"Kwikly/PMSI/T_SSRAAFL.html"
"PMSI";"T_SSRAAFLSTC";"SSR actes de biologie (issus de la NABM) STC2";"Kwikly/PMSI/T_SSRAAFLSTC.html"
"PMSI";"T_SSRAAFM";"SSR RSFA M CCAM";"Kwikly/PMSI/T_SSRAAFM.html"
"PMSI";"T_SSRAAFMSTC";"SS Chaînage des actes CCAM pour l'activité externe des établissements ex DGF2";"Kwikly/PMSI/T_SSRAAFMSTC.html"
"PMSI";"T_SSRAAFP";"SSR RSFA P Prestations Hospitalières Prothèses";"Kwikly/PMSI/T_SSRAAFP.html"
"PMSI";"T_SSRAAFPSTC";"SSR RSFADGF P Prestations Hospitalières Prothèses";"Kwikly/PMSI/T_SSRAAFPSTC.html"
"PMSI";"T_SSRAAGHJ";"";"Kwikly/PMSI/T_SSRAAGHJ.html"
"PMSI";"T_SSRAAGME";"SSR Groupes";"Kwikly/PMSI/T_SSRAAGME.html"
"PMSI";"T_SSRAALEG";"SSR LEG";"Kwikly/PMSI/T_SSRAALEG.html"
"PMSI";"T_SSRAAMED";"SSR médicament en sus fichcomp";"Kwikly/PMSI/T_SSRAAMED.html"
"PMSI";"T_SSRAAMEDAPAC";"SSR Médicament avec APAC";"Kwikly/PMSI/T_SSRAAMEDAPAC.html"
"PMSI";"T_SSRAAMEDATU";"";"Kwikly/PMSI/T_SSRAAMEDATU.html"
"PMSI";"T_SSRAAMEDSMR";"SSR liste des méd spécifiques";"Kwikly/PMSI/T_SSRAAMEDSMR.html"
"PMSI";"T_SSRAAS";"SSR Synthèse au Séjour de Résumés Hebdomadaires Anonymisés (SSRHA) format M36";"Kwikly/PMSI/T_SSRAAS.html"
"PMSI";"T_SSRAASTC";"SSR etab DGF";"Kwikly/PMSI/T_SSRAASTC.html"
"PMSI";"T_SSRAASUP_DSC";"SSR Tests diagnostiques Covid";"Kwikly/PMSI/T_SSRAASUP_DSC.html"
"PMSI";"T_SSRAASUP_IUM";"SSR fichsup IUM";"Kwikly/PMSI/T_SSRAASUP_IUM.html"
"PMSI";"T_SSRAASUP_TIE";"";"Kwikly/PMSI/T_SSRAASUP_TIE.html"
"PMSI";"T_SSRAASUP_VAC";"SSR Vaccins";"Kwikly/PMSI/T_SSRAASUP_VAC.html"
"PMSI";"T_SSRAATRPT";"SSR transport";"Kwikly/PMSI/T_SSRAATRPT.html"
"PMSI";"T_SSRAAVALO";"SSR Valorisation du séjour";"Kwikly/PMSI/T_SSRAAVALO.html"
"PMSI";"T_SUPAAALD";"";"Kwikly/PMSI/T_SUPAAALD.html"
"PMSI";"T_SUPAAATU";"";"Kwikly/PMSI/T_SUPAAATU.html"
"PMSI";"T_SUPAABPHN";"";"Kwikly/PMSI/T_SUPAABPHN.html"
"PMSI";"T_SUPAADMI";"";"Kwikly/PMSI/T_SUPAADMI.html"
"PMSI";"T_SUPAAFFM";"";"Kwikly/PMSI/T_SUPAAFFM.html"
"PMSI";"T_SUPAAIVG";"";"Kwikly/PMSI/T_SUPAAIVG.html"
"PMSI";"T_SUPAAMON";"";"Kwikly/PMSI/T_SUPAAMON.html"
"VALEUR";"AT_1IJ_V";"Indicateur premier règlement de l'AT";"Kwikly/VALEUR/AT_1IJ_V.html"
"VALEUR";"AT_AAT_V";"Nature de l' arret de travail";"Kwikly/VALEUR/AT_AAT_V.html"
"VALEUR";"AT_ACC_V";"Accord personne accompagnante";"Kwikly/VALEUR/AT_ACC_V.html"
"VALEUR";"AT_AGE_V";"Actes de gestion";"Kwikly/VALEUR/AT_AGE_V.html"
"VALEUR";"AT_ALI_V";"Table des alinéas";"Kwikly/VALEUR/AT_ALI_V.html"
"VALEUR";"AT_AMA_V";"Agent matériel de la déviation 1 & 2";"Kwikly/VALEUR/AT_AMA_V.html"
"VALEUR";"AT_AMD_V";"Agent Matériel Détaillé";"Kwikly/VALEUR/AT_AMD_V.html"
"VALEUR";"AT_ANC_V";"Code ancienneté AT/MP";"Kwikly/VALEUR/AT_ANC_V.html"
"VALEUR";"AT_APP_V";"nature de l'appareillage";"Kwikly/VALEUR/AT_APP_V.html"
"VALEUR";"AT_ASP_V";"Activite spécifique";"Kwikly/VALEUR/AT_ASP_V.html"
